ano;fase;n.publica;total.resp
2000;inscrito;924;2609
2001;inscrito;1110;2891
2002;inscrito;1243;3051
2003;inscrito;1337;3114
2004;inscrito;1239;2969
2005;inscrito;1571;3456
2006;inscrito;1473;3143
2007;inscrito;1193;2758
2008;inscrito;1027;2485
2009;inscrito;765;2053
2010;inscrito;651;1798
2011;inscrito;693;1871
2012;inscrito;664;1564
2013;inscrito;727;1657
2014;inscrito;845;1844
2015;inscrito;689;1611
2016;inscrito;676;1582
2000;matriculado;18;119
2001;matriculado;7;119
2002;matriculado;12;120
2003;matriculado;23;119
2004;matriculado;21;120
2005;matriculado;27;120
2006;matriculado;20;120
2007;matriculado;33;120
2008;matriculado;24;119
2009;matriculado;36;119
2010;matriculado;23;120
2011;matriculado;27;120
2012;matriculado;27;124
2013;matriculado;35;128
2014;matriculado;38;120
2015;matriculado;44;120
2016;matriculado;33;106
