ano;fase;ensino.medio;n.anuario
1987;inscrito;publica;41465
1987;inscrito;particular;48863
1987;inscrito;supletivo;3591
1987;inscrito;maior parte pub;41144
1987;inscrito;maior parte part;5052
1987;inscrito;outros;1471
1987;chamado;publica;2078
1987;chamado;particular;3979
1987;chamado;supletivo;51
1987;chamado;maior parte pub;249
1987;chamado;maior parte part;290
1987;chamado;outros;80
1988;inscrito;publica;14531
1988;inscrito;particular;19617
1988;inscrito;supletivo;1695
1988;inscrito;maior parte pub;1541
1988;inscrito;maior parte part;1892
1988;inscrito;outros;141
1988;chamado;publica;968
1988;chamado;particular;1843
1988;chamado;supletivo;36
1988;chamado;maior parte pub;118
1988;chamado;maior parte part;118
1988;chamado;outros;4
1989;inscrito;publica;31601
1989;inscrito;particular;50685
1989;inscrito;supletivo;2320
1989;inscrito;maior parte pub;4341
1989;inscrito;maior parte part;5187
1989;inscrito;outros;373
1989;chamado;publica;2006
1989;chamado;particular;4869
1989;chamado;supletivo;46
1989;chamado;maior parte pub;290
1989;chamado;maior parte part;295
1989;chamado;outros;15
1990;inscrito;publica;31717
1990;inscrito;particular;54700
1990;inscrito;supletivo;2219
1990;inscrito;maior parte pub;4756
1990;inscrito;maior parte part;5326
1990;inscrito;outros;341
1990;chamado;publica;1781
1990;chamado;particular;4935
1990;chamado;supletivo;27
1990;chamado;maior parte pub;311
1990;chamado;maior parte part;351
1990;chamado;outros;8
1991;inscrito;publica;38947
1991;inscrito;particular;60273
1991;inscrito;supletivo;2446
1991;inscrito;maior parte pub;5864
1991;inscrito;maior parte part;6003
1991;inscrito;meia publica;2598
1991;inscrito;outros;546
1991;chamado;publica;10858
1991;chamado;particular;23308
1991;chamado;supletivo;495
1991;chamado;maior parte pub;1731
1991;chamado;maior parte part;1908
1991;chamado;meia publica;648
1991;chamado;outros;157
1991;matriculado;publica;2140
1991;matriculado;particular;4768
1991;matriculado;supletivo;42
1991;matriculado;maior parte pub;298
1991;matriculado;maior parte part;387
1991;matriculado;meia publica;79
1991;matriculado;outros;39
1992;inscrito;outros;473
1992;inscrito;publica;32873
1992;inscrito;particular;50632
1992;inscrito;supletivo;2172
1992;inscrito;maior parte pub;4572
1992;inscrito;maior parte part;4890
1992;inscrito;meia publica;2117
1992;chamado;outros;164
1992;chamado;publica;10630
1992;chamado;particular;16916
1992;chamado;supletivo;701
1992;chamado;maior parte pub;1499
1992;chamado;maior parte part;1598
1992;chamado;meia publica;677
1992;matriculado;outros;46
1992;matriculado;publica;2490
1992;matriculado;particular;4342
1992;matriculado;supletivo;177
1992;matriculado;maior parte pub;347
1992;matriculado;maior parte part;396
1992;matriculado;meia publica;144
1993;inscrito;outros;602
1993;inscrito;publica;32429
1993;inscrito;particular;52799
1993;inscrito;supletivo;1769
1993;inscrito;maior parte pub;4802
1993;inscrito;maior parte part;5409
1993;inscrito;meia publica;1767
1993;chamado;outros;185
1993;chamado;publica;9963
1993;chamado;particular;18909
1993;chamado;supletivo;476
1993;chamado;maior parte pub;1554
1993;chamado;maior parte part;1794
1993;chamado;meia publica;447
1993;matriculado;outros;41
1993;matriculado;publica;2153
1993;matriculado;particular;5055
1993;matriculado;supletivo;37
1993;matriculado;maior parte pub;328
1993;matriculado;maior parte part;398
1993;matriculado;meia publica;67
1994;inscrito;outros;2721
1994;inscrito;publica;27969
1994;inscrito;particular;46419
1994;inscrito;supletivo;1189
1994;inscrito;maior parte pub;3865
1994;inscrito;maior parte part;5092
1994;inscrito;meia publica;1798
1994;chamado;outros;641
1994;chamado;publica;5373
1994;chamado;particular;15612
1994;chamado;supletivo;141
1994;chamado;maior parte pub;803
1994;chamado;maior parte part;1335
1994;chamado;meia publica;278
1994;matriculado;outros;174
1994;matriculado;publica;1375
1994;matriculado;particular;4614
1994;matriculado;supletivo;26
1994;matriculado;maior parte pub;193
1994;matriculado;maior parte part;315
1994;matriculado;meia publica;69
1995;inscrito;outros;0
1995;inscrito;publica;30314
1995;inscrito;particular;38886
1995;inscrito;supletivo;1002
1995;inscrito;maior parte pub;4201
1995;inscrito;maior parte part;4003
1995;inscrito;meia publica;1201
1995;chamado;outros;0
1995;chamado;publica;5096
1995;chamado;particular;16158
