ano;fase;n.publica;total.resp
2000;inscrito;41524;121517
2001;inscrito;43958;118581
2002;inscrito;45722;121575
2003;inscrito;51680;133717
2004;inscrito;51254;134443
2005;inscrito;57524;135963
2006;inscrito;68938;151844
2007;inscrito;48082;125127
2008;inscrito;43250;122675
2009;inscrito;40866;121575
2010;inscrito;33329;113779
2011;inscrito;37105;122184
2012;inscrito;43284;128101
2013;inscrito;48745;138094
2014;inscrito;54892;147633
2015;inscrito;40771;126977
2000;matriculado;1784;7418
2001;matriculado;1939;7595
2002;matriculado;2125;9617
2003;matriculado;2248;8439
2004;matriculado;2206;8670
2005;matriculado;2579;9676
2006;matriculado;2448;10002
2007;matriculado;2772;10188
2008;matriculado;2731;10333
2009;matriculado;3157;10465
2010;matriculado;2717;10595
2011;matriculado;2759;10578
2012;matriculado;3049;10766
2013;matriculado;3055;10975
2014;matriculado;3573;11111
2015;matriculado;3853;11080
