ano;fase;cor;inclusp;N
2007;inscrito;branca;Inclusp;30537
2007;inscrito;preta;Inclusp;4960
2007;inscrito;amarela;Inclusp;1951
2007;inscrito;parda;Inclusp;13877
2007;inscrito;indígena;Inclusp;359
2007;inscrito;NR;Inclusp;363
2007;inscrito;branca;Não Inclusp;59769
2007;inscrito;preta;Não Inclusp;1202
2007;inscrito;amarela;Não Inclusp;5932
2007;inscrito;parda;Não Inclusp;6097
2007;inscrito;indígena;Não Inclusp;212
2007;inscrito;NR;Não Inclusp;739
2007;matriculado;branca;Inclusp;1878
2007;matriculado;preta;Inclusp;140
2007;matriculado;amarela;Inclusp;192
2007;matriculado;parda;Inclusp;530
2007;matriculado;indígena;Inclusp;17
2007;matriculado;NR;Inclusp;31
2007;matriculado;branca;Não Inclusp;5908
2007;matriculado;preta;Não Inclusp;71
2007;matriculado;amarela;Não Inclusp;780
2007;matriculado;parda;Não Inclusp;603
2007;matriculado;indígena;Não Inclusp;25
2007;matriculado;NR;Não Inclusp;99
2008;inscrito;branca;Inclusp;27103
2008;inscrito;preta;Inclusp;4204
2008;inscrito;amarela;Inclusp;1796
2008;inscrito;parda;Inclusp;11797
2008;inscrito;indígena;Inclusp;250
2008;inscrito;NR;Inclusp;319
2008;inscrito;branca;Não Inclusp;63092
2008;inscrito;preta;Não Inclusp;1340
2008;inscrito;amarela;Não Inclusp;5855
2008;inscrito;parda;Não Inclusp;6734
2008;inscrito;indígena;Não Inclusp;214
2008;inscrito;NR;Não Inclusp;772
2008;matriculado;branca;Inclusp;1843
2008;matriculado;preta;Inclusp;119
2008;matriculado;amarela;Inclusp;185
2008;matriculado;parda;Inclusp;514
2008;matriculado;indígena;Inclusp;11
2008;matriculado;NR;Inclusp;20
2008;matriculado;branca;Não Inclusp;6121
2008;matriculado;preta;Não Inclusp;100
2008;matriculado;amarela;Não Inclusp;708
2008;matriculado;parda;Não Inclusp;668
2008;matriculado;indígena;Não Inclusp;14
2008;matriculado;NR;Não Inclusp;78
2009;inscrito;branca;Inclusp;26017
2009;inscrito;preta;Inclusp;3519
2009;inscrito;amarela;Inclusp;1605
2009;inscrito;parda;Inclusp;10500
2009;inscrito;indígena;Inclusp;180
2009;inscrito;NR;Inclusp;336
2009;inscrito;branca;Não Inclusp;65263
2009;inscrito;preta;Não Inclusp;1367
2009;inscrito;amarela;Não Inclusp;5889
2009;inscrito;parda;Não Inclusp;6787
2009;inscrito;indígena;Não Inclusp;170
2009;inscrito;NR;Não Inclusp;839
2009;matriculado;branca;Inclusp;2147
2009;matriculado;preta;Inclusp;178
2009;matriculado;amarela;Inclusp;188
2009;matriculado;parda;Inclusp;598
2009;matriculado;indígena;Inclusp;8
2009;matriculado;NR;Inclusp;29
2009;matriculado;branca;Não Inclusp;5890
2009;matriculado;preta;Não Inclusp;90
