ano;fase;salario;inclusp;N
2015;inscrito;<1;TRUE;1227
2015;inscrito;1-2;TRUE;9218
2015;inscrito;2-3;TRUE;9729
2015;inscrito;3-5;TRUE;11079
2015;inscrito;5-7;TRUE;5557
2015;inscrito;7-10;TRUE;2974
2015;inscrito;10-15;TRUE;1543
2015;inscrito;15-20;TRUE;436
2015;inscrito;>20;TRUE;329
2015;inscrito;<1;FALSE;454
2015;inscrito;1-2;FALSE;3764
2015;inscrito;2-3;FALSE;7865
2015;inscrito;3-5;FALSE;15863
2015;inscrito;5-7;FALSE;15155
2015;inscrito;7-10;FALSE;13551
2015;inscrito;10-15;FALSE;11788
2015;inscrito;15-20;FALSE;6185
2015;inscrito;>20;FALSE;10260
